year_month,0
2011-06,2
2011-07,1
2011-08,2
2011-12,1
2012-01,3
2012-03,1
2012-04,2
2012-06,1
2013-04,1
2013-10,1
2013-11,1
2014-08,2
2014-10,1
2015-05,1
2015-07,1
2016-03,1
2017-01,1
2017-07,17
2017-08,1
2017-09,2
2017-10,1
2017-11,2
2017-12,1
2018-02,1
2018-04,1
2018-11,20
2018-12,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-08,1
2019-09,3
2019-10,1
2019-11,1
2020-01,1
2020-02,3
2020-04,1
2020-05,8
2020-06,1
2020-07,4
2020-08,3
2020-09,2
2020-11,2
2020-12,1
2021-01,3
2021-02,2
2021-03,2
2021-04,1
2021-06,2
2021-07,1
2021-08,2
2021-09,4
2021-10,6
2021-11,2
2021-12,7
2022-01,5
2022-03,5
2022-04,2
2022-05,3
2022-06,1
2022-07,1
2022-08,2
2022-09,1
2022-10,3
2022-11,8
2022-12,2
2023-01,11
2023-02,7
2023-03,4
2023-04,4
2023-05,4
2023-06,7
2023-07,15
2023-08,15
2023-09,7
2023-10,13
2023-11,13
2023-12,10
2024-01,23
2024-02,24
2024-03,23
2024-04,25
2024-05,16
2024-06,21
2024-07,52
2024-08,33
2024-09,25
2024-10,15
2024-11,45
2024-12,35
2025-01,24
2025-02,57
2025-03,25
2025-04,47
2025-05,33
2025-06,49
2025-07,56
2025-08,36
2025-09,43
2025-10,54
2025-11,65
2025-12,83
2026-01,131
2026-02,117
2026-03,115
2026-04,139
2026-05,174
2026-06,290
